year,state,state_po,county,FIPS,candidate,party,candidatevotes,0
2016,Wisconsin,WI,Calumet,55015,Other,NA,1656,
2016,Wisconsin,WI,Chippewa,55017,Donald Trump,republican,17909,63
2016,Wisconsin,WI,Chippewa,55017,Hillary Clinton,democrat,11886,64
2016,Wisconsin,WI,Chippewa,55017,Other,NA,1766,
2016,Wisconsin,WI,Clark,55019,Donald Trump,republican,8646,65
2016,Wisconsin,WI,Clark,55019,Hillary Clinton,democrat,4227,66
2016,Wisconsin,WI,Clark,55019,Other,NA,723,
2016,Wisconsin,WI,Columbia,55021,Donald Trump,republican,14160,67
2016,Wisconsin,WI,Columbia,55021,Hillary Clinton,democrat,13526,68
2016,Wisconsin,WI,Columbia,55021,Other,NA,2085,
2016,Wisconsin,WI,Crawford,55023,Donald Trump,republican,3844,69
2016,Wisconsin,WI,Crawford,55023,Hillary Clinton,democrat,3425,70
2016,Wisconsin,WI,Crawford,55023,Other,NA,475,
2016,Wisconsin,WI,Dane,55025,Hillary Clinton,democrat,217526,71
2016,Wisconsin,WI,Dane,55025,Donald Trump,republican,71279,72
2016,Wisconsin,WI,Dane,55025,Other,NA,21212,
2016,Wisconsin,WI,Dodge,55027,Donald Trump,republican,26643,73
2016,Wisconsin,WI,Dodge,55027,Hillary Clinton,democrat,13968,74
2016,Wisconsin,WI,Dodge,55027,Other,NA,2454,
2016,Wisconsin,WI,Door,55029,Donald Trump,republican,8584,75
2016,Wisconsin,WI,Door,55029,Hillary Clinton,democrat,8026,76
2016,Wisconsin,WI,Door,55029,Other,NA,998,
2016,Wisconsin,WI,Douglas,55031,Hillary Clinton,democrat,11345,77
2016,Wisconsin,WI,Douglas,55031,Donald Trump,republican,9659,78
2016,Wisconsin,WI,Douglas,55031,Other,NA,1507,
2016,Wisconsin,WI,Dunn,55033,Donald Trump,republican,11488,79
2016,Wisconsin,WI,Dunn,55033,Hillary Clinton,democrat,9026,80
2016,Wisconsin,WI,Dunn,55033,Other,NA,1577,
2016,Wisconsin,WI,Eau Claire,55035,Hillary Clinton,democrat,27294,81
2016,Wisconsin,WI,Eau Claire,55035,Donald Trump,republican,23311,82
2016,Wisconsin,WI,Eau Claire,55035,Other,NA,4280,
2016,Wisconsin,WI,Florence,55037,Donald Trump,republican,1897,83
2016,Wisconsin,WI,Florence,55037,Hillary Clinton,democrat,666,84
2016,Wisconsin,WI,Florence,55037,Other,NA,94,
2016,Wisconsin,WI,Fond du Lac,55039,Donald Trump,republican,31044,85
2016,Wisconsin,WI,Fond du Lac,55039,Hillary Clinton,democrat,17391,86
2016,Wisconsin,WI,Fond du Lac,55039,Other,NA,2892,
2016,Wisconsin,WI,Forest,55041,Donald Trump,republican,2788,87
2016,Wisconsin,WI,Forest,55041,Hillary Clinton,democrat,1584,88
2016,Wisconsin,WI,Forest,55041,Other,NA,168,
2016,Wisconsin,WI,Grant,55043,Donald Trump,republican,12349,89
2016,Wisconsin,WI,Grant,55043,Hillary Clinton,democrat,10046,90
2016,Wisconsin,WI,Grant,55043,Other,NA,1926,
2016,Wisconsin,WI,Green,55045,Hillary Clinton,democrat,9122,91
2016,Wisconsin,WI,Green,55045,Donald Trump,republican,8693,92
2016,Wisconsin,WI,Green,55045,Other,NA,1170,
2016,Wisconsin,WI,Green Lake,55047,Donald Trump,republican,6213,93
2016,Wisconsin,WI,Green Lake,55047,Hillary Clinton,democrat,2701,94
2016,Wisconsin,WI,Green Lake,55047,Other,NA,474,
2016,Wisconsin,WI,Iowa,55049,Hillary Clinton,democrat,6669,95
2016,Wisconsin,WI,Iowa,55049,Donald Trump,republican,4809,96
2016,Wisconsin,WI,Iowa,55049,Other,NA,782,
2016,Wisconsin,WI,Iron,55051,Donald Trump,republican,2090,97
2016,Wisconsin,WI,Iron,55051,Hillary Clinton,democrat,1273,98
2016,Wisconsin,WI,Iron,55051,Other,NA,134,
2016,Wisconsin,WI,Jackson,55053,Donald Trump,republican,4907,99
2016,Wisconsin,WI,Jackson,55053,Hillary Clinton,democrat,3821,100
2016,Wisconsin,WI,Jackson,55053,Other,NA,544,
2016,Wisconsin,WI,Jefferson,55055,Donald Trump,republican,23410,101
2016,Wisconsin,WI,Jefferson,55055,Hillary Clinton,democrat,16561,102
2016,Wisconsin,WI,Jefferson,55055,Other,NA,3175,
2016,Wisconsin,WI,Juneau,55057,Donald Trump,republican,7123,103
2016,Wisconsin,WI,Juneau,55057,Hillary Clinton,democrat,4073,104
2016,Wisconsin,WI,Juneau,55057,Other,NA,536,
2016,Wisconsin,WI,Kenosha,55059,Donald Trump,republican,36025,105
2016,Wisconsin,WI,Kenosha,55059,Hillary Clinton,democrat,35771,106
2016,Wisconsin,WI,Kenosha,55059,Other,NA,5280,
2016,Wisconsin,WI,Kewaunee,55061,Donald Trump,republican,6616,107
2016,Wisconsin,WI,Kewaunee,55061,Hillary Clinton,democrat,3623,108
2016,Wisconsin,WI,Kewaunee,55061,Other,NA,519,
2016,Wisconsin,WI,La Crosse,55063,Hillary Clinton,democrat,32406,109
2016,Wisconsin,WI,La Crosse,55063,Donald Trump,republican,26389,110
2016,Wisconsin,WI,La Crosse,55063,Other,NA,4173,
2016,Wisconsin,WI,Lafayette,55065,Donald Trump,republican,3977,111
2016,Wisconsin,WI,Lafayette,55065,Hillary Clinton,democrat,3288,112
2016,Wisconsin,WI,Lafayette,55065,Other,NA,397,
2016,Wisconsin,WI,Langlade,55067,Donald Trump,republican,6436,113
2016,Wisconsin,WI,Langlade,55067,Hillary Clinton,democrat,3260,114
2016,Wisconsin,WI,Langlade,55067,Other,NA,436,
2016,Wisconsin,WI,Lincoln,55069,Donald Trump,republican,8400,115
2016,Wisconsin,WI,Lincoln,55069,Hillary Clinton,democrat,5370,116
2016,Wisconsin,WI,Lincoln,55069,Other,NA,936,
2016,Wisconsin,WI,Manitowoc,55071,Donald Trump,republican,23193,117
2016,Wisconsin,WI,Manitowoc,55071,Hillary Clinton,democrat,14506,118
2016,Wisconsin,WI,Manitowoc,55071,Other,NA,2647,
2016,Wisconsin,WI,Marathon,55073,Donald Trump,republican,39013,119
2016,Wisconsin,WI,Marathon,55073,Hillary Clinton,democrat,26477,120
2016,Wisconsin,WI,Marathon,55073,Other,NA,4025,
2016,Wisconsin,WI,Marinette,55075,Donald Trump,republican,12995,121
2016,Wisconsin,WI,Marinette,55075,Hillary Clinton,democrat,6243,122
2016,Wisconsin,WI,Marinette,55075,Other,NA,808,
2016,Wisconsin,WI,Marquette,55077,Donald Trump,republican,4714,123
2016,Wisconsin,WI,Marquette,55077,Hillary Clinton,democrat,2809,124
2016,Wisconsin,WI,Marquette,55077,Other,NA,370,
2016,Wisconsin,WI,Menominee,55078,Hillary Clinton,democrat,1003,125
2016,Wisconsin,WI,Menominee,55078,Donald Trump,republican,269,126
2016,Wisconsin,WI,Menominee,55078,Other,NA,7,
2016,Wisconsin,WI,Milwaukee,55079,Hillary Clinton,democrat,288797,127
2016,Wisconsin,WI,Milwaukee,55079,Donald Trump,republican,125846,128
2016,Wisconsin,WI,Milwaukee,55079,Other,NA,25604,
2016,Wisconsin,WI,Monroe,55081,Donald Trump,republican,11352,129
2016,Wisconsin,WI,Monroe,55081,Hillary Clinton,democrat,7048,130
